"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2021","979.80","971.00","989.90","964.40","11.28K","0.91%"
"12/27/2021","971.00","973.40","974.60","951.50","11.00K","0.43%"
"12/26/2021","966.85","972.85","972.85","966.80","","-0.55%"
"12/23/2021","972.20","964.80","974.20","956.60","9.60K","0.88%"
"12/22/2021","963.70","927.20","966.40","922.10","9.07K","4.25%"
"12/21/2021","924.40","925.00","935.40","919.50","5.57K","0.20%"
"12/20/2021","922.60","932.50","932.50","906.80","7.15K","0.09%"
"12/19/2021","921.80","928.85","931.65","921.80","","-1.19%"
"12/17/2021","932.90","929.20","940.50","924.40","3.49K","0.63%"
"12/16/2021","927.10","903.70","930.00","899.00","5.58K","3.69%"
"12/15/2021","894.10","912.40","917.60","886.10","4.10K","-1.86%"
"12/14/2021","911.00","923.70","928.50","904.00","3.41K","-1.50%"
"12/13/2021","924.90","942.00","949.50","921.80","5.06K","-1.65%"
"12/12/2021","940.45","937.85","942.50","937.85","","0.57%"
"12/10/2021","935.10","932.00","940.70","926.40","3.41K","-0.37%"
"12/09/2021","938.60","955.40","955.40","929.80","3.55K","-1.92%"
"12/08/2021","957.00","948.80","961.20","943.80","2.75K","0.63%"
"12/07/2021","951.00","935.80","956.70","933.30","3.10K","1.45%"
"12/06/2021","937.40","930.70","939.60","917.30","2.49K","0.29%"
"12/05/2021","934.65","928.20","935.00","927.45","","0.81%"
"12/03/2021","927.10","933.20","951.60","919.00","3.10K","-0.74%"
"12/02/2021","934.00","931.80","946.70","928.50","1.93K","-0.28%"
"12/01/2021","936.60","933.80","954.30","926.40","1.55K","0.80%"
"11/30/2021","929.20","963.70","968.40","924.70","2.88K","-3.85%"
"11/29/2021","966.40","953.70","981.10","953.70","1.83K","-1.23%"
"11/28/2021","978.40","950.50","978.40","950.50","","2.46%"
"11/26/2021","954.90","990.90","992.90","945.20","","-3.63%"
"11/25/2021","990.90","980.40","999.90","979.90","","1.38%"
"11/24/2021","977.40","969.60","986.60","967.50","1.74K","1.17%"
"11/23/2021","966.10","1020.00","1025.90","959.30","3.06K","-4.98%"
"11/22/2021","1016.70","1037.60","1045.20","1014.90","1.31K","-1.44%"
"11/21/2021","1031.60","1035.30","1036.75","1029.60","","-0.58%"
"11/19/2021","1037.60","1057.00","1066.00","1035.20","0.97K","-1.88%"
"11/18/2021","1057.50","1065.60","1080.70","1050.00","0.39K","-1.18%"
"11/17/2021","1070.10","1068.00","1081.00","1060.60","0.30K","-0.51%"
"11/16/2021","1075.60","1096.80","1113.40","1068.00","0.55K","-2.02%"
"11/15/2021","1097.80","1089.30","1103.10","1077.70","0.30K","0.55%"
"11/14/2021","1091.80","1088.30","1092.85","1087.20","","0.16%"
"11/12/2021","1090.10","1094.30","1095.40","1074.20","0.27K","-0.49%"
"11/11/2021","1095.50","1075.00","1100.00","1072.50","0.32K","1.63%"
"11/10/2021","1077.90","1065.10","1099.40","1056.70","1.26K","1.46%"
"11/09/2021","1062.40","1060.10","1068.30","1049.50","0.27K","0.12%"
"11/08/2021","1061.10","1037.50","1066.80","1037.40","0.38K","2.26%"
"11/07/2021","1037.65","1036.30","1039.00","1035.05","","0.07%"
"11/05/2021","1036.90","1030.70","1040.10","1023.80","0.31K","0.64%"
"11/04/2021","1030.30","1036.40","1050.50","1027.90","0.35K","0.68%"
"11/03/2021","1023.30","1040.80","1046.80","1022.70","0.12K","-1.63%"
"11/02/2021","1040.30","1067.00","1067.50","1039.50","0.23K","-2.60%"
"11/01/2021","1068.10","1020.30","1069.90","1020.00","0.28K","4.56%"
"10/31/2021","1021.50","1021.65","1022.40","1018.90","","-0.02%"
"10/29/2021","1021.70","1023.20","1025.50","1006.70","0.27K","-0.35%"
"10/28/2021","1025.30","1015.60","1034.50","1015.50","0.10K","0.59%"
"10/27/2021","1019.30","1031.80","1033.80","1010.60","12.29K","-1.32%"
"10/26/2021","1032.90","1063.60","1064.00","1017.00","17.00K","-2.90%"
"10/25/2021","1063.80","1044.80","1066.60","1040.40","13.51K","1.64%"
"10/24/2021","1046.60","1043.60","1046.60","1042.40","","-0.52%"
"10/22/2021","1052.10","1053.00","1080.80","1042.80","18.33K","0.23%"
"10/21/2021","1049.70","1054.50","1066.80","1038.00","12.53K","-0.25%"
"10/20/2021","1052.30","1043.40","1058.00","1036.70","10.91K","0.50%"
"10/19/2021","1047.10","1039.10","1059.30","1036.70","11.81K","0.89%"
"10/18/2021","1037.90","1059.00","1062.70","1034.80","12.93K","-1.93%"
"10/17/2021","1058.35","1060.85","1062.70","1058.20","","-0.05%"
"10/15/2021","1058.90","1057.50","1062.90","1043.60","17.88K","0.63%"
"10/14/2021","1052.30","1021.00","1064.20","1015.00","19.44K","2.74%"
"10/13/2021","1024.20","1008.00","1033.80","1003.00","12.87K","1.24%"
"10/12/2021","1011.70","1005.80","1020.70","1002.00","10.14K","0.48%"
"10/11/2021","1006.90","1027.10","1037.60","1004.60","16.20K","-1.43%"
"10/10/2021","1021.50","1026.55","1032.90","1020.35","","-0.65%"
"10/08/2021","1028.20","979.80","1041.70","977.90","24.54K","4.35%"
"10/07/2021","985.30","985.00","997.70","975.30","11.90K","0.83%"
"10/06/2021","977.20","959.80","988.80","939.10","16.80K","1.81%"
"10/05/2021","959.80","964.10","965.90","945.00","8.37K","-0.19%"
"10/04/2021","961.60","974.50","981.10","943.00","13.43K","-1.73%"
"10/03/2021","978.50","973.90","980.80","973.50","","0.50%"
"10/01/2021","973.60","962.00","978.00","954.90","9.77K","1.16%"
"09/30/2021","962.40","949.20","968.90","949.00","11.24K","1.63%"
"09/29/2021","947.00","964.60","972.00","941.40","13.55K","-1.49%"
"09/28/2021","961.30","976.10","984.70","958.80","","-1.69%"
"09/27/2021","977.80","981.00","996.50","972.60","9.30K","-0.20%"
"09/26/2021","979.80","977.50","979.80","974.80","","0.36%"
"09/24/2021","976.30","986.70","990.30","962.30","10.15K","-1.92%"
"09/23/2021","995.40","994.70","1010.70","979.70","12.72K","-0.44%"
"09/22/2021","999.80","951.50","1007.90","945.60","13.62K","5.15%"
"09/21/2021","950.80","904.30","955.50","903.90","11.37K","5.71%"
"09/20/2021","899.40","933.90","935.40","892.90","6.43K","-3.59%"
"09/19/2021","932.90","931.00","934.10","929.50","","0.03%"
"09/17/2021","932.60","926.10","950.50","925.80","3.96K","0.76%"
"09/16/2021","925.60","941.50","953.00","923.50","3.40K","-0.78%"
"09/15/2021","932.90","936.60","942.10","918.20","4.55K","-0.87%"
"09/14/2021","941.10","959.00","959.40","930.00","4.68K","-1.99%"
"09/13/2021","960.20","952.00","961.00","945.40","4.01K","0.43%"
"09/12/2021","956.10","947.90","956.50","947.50","","-0.36%"
"09/10/2021","959.60","974.10","984.40","945.90","3.78K","-1.83%"
"09/09/2021","977.50","978.20","987.50","970.70","3.45K","-0.16%"
"09/08/2021","979.10","998.20","1006.00","973.80","3.45K","-1.98%"
"09/07/2021","998.90","1023.40","1028.50","993.90","2.06K","-1.91%"
"09/06/2021","1018.30","1019.30","1026.10","1014.45","","-0.14%"
"09/05/2021","1019.70","1022.40","1024.00","1018.60","","-0.47%"
"09/03/2021","1024.50","997.90","1028.40","996.50","1.81K","2.77%"
"09/02/2021","996.90","999.10","1009.50","989.00","2.05K","-0.55%"
"09/01/2021","1002.40","1013.60","1016.90","997.50","2.18K","-1.43%"
"08/31/2021","1016.90","1005.60","1019.10","995.00","1.27K","1.19%"
"08/30/2021","1004.90","1010.00","1016.50","998.00","1.41K","-0.49%"
"08/29/2021","1009.80","1007.10","1010.40","1005.20","","0.24%"
"08/27/2021","1007.40","975.30","1008.15","974.05","","2.95%"
"08/26/2021","978.50","996.00","996.50","975.20","1.64K","-1.81%"
"08/25/2021","996.50","1010.60","1012.00","987.70","1.27K","-1.63%"
"08/24/2021","1013.00","1016.30","1020.30","1004.60","1.39K","-0.29%"
"08/23/2021","1015.90","992.20","1018.60","992.20","0.24K","2.78%"
"08/22/2021","988.45","991.80","993.75","988.35","","-0.73%"
"08/20/2021","995.70","972.40","996.20","971.60","0.34K","2.35%"
"08/19/2021","972.80","995.90","995.90","959.30","0.56K","-2.58%"
"08/18/2021","998.60","995.70","1011.10","987.70","0.33K","0.24%"
"08/17/2021","996.20","1023.20","1028.20","990.00","0.30K","-2.63%"
"08/16/2021","1023.10","1028.50","1028.50","1004.20","0.17K","-0.04%"
"08/15/2021","1023.55","1025.35","1027.00","1023.50","","-0.45%"
"08/13/2021","1028.20","1017.00","1031.00","1014.30","0.14K","0.79%"
"08/12/2021","1020.10","1017.60","1025.00","1008.60","0.20K","0.22%"
"08/11/2021","1017.90","994.00","1020.00","994.00","0.23K","2.90%"
"08/10/2021","989.20","976.80","995.00","976.00","0.29K","1.60%"
"08/09/2021","973.60","976.60","982.70","956.80","0.37K","1.74%"
"08/08/2021","956.95","971.65","974.40","954.00","","-1.84%"
"08/06/2021","974.90","1002.80","1005.00","972.00","0.44K","-3.32%"
"08/05/2021","1008.40","1023.90","1023.90","999.50","0.32K","-1.53%"
"08/04/2021","1024.10","1051.30","1053.50","1019.70","0.33K","-2.46%"
"08/03/2021","1049.90","1050.60","1056.10","1039.80","0.35K","-0.85%"
"08/02/2021","1058.90","1050.00","1068.00","1050.00","0.19K","0.68%"
"08/01/2021","1051.75","1045.75","1052.80","1045.75","","0.02%"
"07/30/2021","1051.50","1060.50","1060.50","1035.70","0.63K","-1.78%"
"07/29/2021","1070.60","1071.00","1082.80","1064.90","0.29K","1.18%"
"07/28/2021","1058.10","1052.00","1068.00","1044.60","9.94K","0.82%"
"07/27/2021","1049.50","1065.20","1069.20","1044.00","15.27K","-1.92%"
"07/26/2021","1070.00","1057.10","1073.50","1054.00","11.59K","0.75%"
"07/25/2021","1062.00","1060.85","1063.90","1060.85","","0.06%"
"07/23/2021","1061.40","1092.90","1097.30","1042.20","17.58K","-2.68%"
"07/22/2021","1090.60","1078.20","1094.20","1072.90","9.23K","1.42%"
"07/21/2021","1075.30","1063.70","1081.10","1060.70","10.33K","0.95%"
"07/20/2021","1065.20","1074.30","1084.40","1053.30","15.25K","-0.58%"
"07/19/2021","1071.40","1101.00","1107.10","1063.80","17.55K","-2.97%"
"07/18/2021","1104.20","1101.45","1105.20","1098.80","","-0.39%"
"07/16/2021","1108.50","1140.20","1141.20","1096.50","14.65K","-2.57%"
"07/15/2021","1137.70","1140.20","1140.60","1139.10","13.36K","0.85%"
"07/14/2021","1128.10","1103.40","1135.30","1101.00","15.41K","1.52%"
"07/13/2021","1111.20","1120.40","1122.00","1100.20","11.65K","-1.05%"
"07/12/2021","1123.00","1098.00","1123.80","1085.30","16.95K","2.46%"
"07/11/2021","1096.00","1097.45","1099.40","1096.00","","0.03%"
"07/09/2021","1095.70","1072.00","1099.50","1065.70","11.54K","1.97%"
"07/08/2021","1074.50","1085.40","1086.30","1062.30","13.86K","-0.68%"
"07/07/2021","1081.90","1089.10","1100.00","1071.00","10.00K","-0.19%"
"07/06/2021","1084.00","1088.10","1118.00","1075.50","18.75K","-1.62%"
"07/05/2021","1101.90","1099.10","1105.10","1089.65","","1.31%"
"07/02/2021","1087.70","1082.40","1096.50","1079.40","10.05K","0.63%"
"07/01/2021","1080.90","1071.60","1094.50","1059.80","12.13K","0.75%"
"06/30/2021","1072.90","1067.70","1075.50","1049.10","12.69K","0.21%"
"06/29/2021","1070.60","1093.20","1097.70","1060.00","18.91K","-2.60%"
"06/28/2021","1099.20","1114.15","1116.10","1092.25","","-1.39%"
"06/27/2021","1114.70","1110.65","1114.80","1110.10","","0.81%"
"06/25/2021","1105.70","1094.90","1113.10","1093.10","10.02K","0.88%"
"06/24/2021","1096.10","1085.80","1098.60","1070.40","8.38K","0.61%"
"06/23/2021","1089.50","1075.70","1096.40","1072.00","10.06K","1.55%"
"06/22/2021","1072.90","1057.60","1076.90","1053.50","8.83K","1.78%"
"06/21/2021","1054.10","1044.30","1059.50","1026.00","7.61K","1.44%"
"06/20/2021","1039.10","1036.90","1043.05","1035.05","","-0.58%"
"06/18/2021","1045.20","1062.90","1086.60","1039.00","7.22K","-1.31%"
"06/17/2021","1059.10","1125.50","1135.00","1048.00","7.77K","-7.57%"
"06/16/2021","1145.90","1157.60","1158.10","1120.30","3.99K","-0.59%"
"06/15/2021","1152.70","1170.70","1172.50","1150.00","4.41K","-1.41%"
