Date,Open,High,Low,Close,Adj Close,Volume
2020-07-22,59.799999,60.000000,58.779999,58.779999,50.755344,638644
2020-07-23,59.299999,59.400002,57.599998,57.619999,49.753708,772714
2020-07-24,57.400002,57.820000,56.639999,57.820000,49.926403,800992
2020-07-27,57.820000,57.880001,56.639999,56.939999,49.166542,687163
2020-07-28,57.439999,58.959999,57.000000,57.320000,49.494663,817353
2020-07-29,57.320000,57.360001,55.799999,56.220001,48.544838,727279
2020-07-30,56.099998,56.139999,52.880001,53.000000,45.764431,980078
2020-07-31,53.200001,54.500000,52.279999,53.279999,46.006207,1075247
2020-08-03,53.540001,53.820000,52.439999,53.020000,45.781700,708088
2020-08-04,53.500000,53.700001,52.700001,53.380001,46.092556,1088272
2020-08-05,54.000000,55.580002,53.400002,54.080002,46.696991,1061625
2020-08-06,54.080002,54.520000,51.520000,52.360001,45.211803,1238989
2020-08-07,52.459999,53.740002,52.439999,53.639999,46.317055,784371
2020-08-10,54.000000,54.099998,52.720001,53.200001,45.937126,567161
2020-08-11,53.560001,54.779999,53.020000,54.500000,47.059650,1108784
2020-08-12,54.700001,56.180000,54.299999,55.459999,47.888588,1208792
2020-08-13,55.619999,57.720001,55.400002,55.700001,48.095829,1299770
2020-08-14,55.860001,56.299999,54.759998,55.580002,47.992214,629542
2020-08-17,55.500000,56.580002,55.099998,56.580002,48.855694,908319
2020-08-18,56.599998,56.599998,53.599998,53.619999,46.299789,1375019
2020-08-19,53.799999,53.799999,52.580002,52.580002,45.401772,1050867
2020-08-20,52.580002,54.779999,52.299999,53.680000,46.351597,800850
2020-08-21,54.160000,54.259998,52.799999,53.020000,45.781700,628879
2020-08-24,53.439999,53.799999,52.619999,53.180000,45.919861,726457
2020-08-25,53.700001,55.180000,53.540001,53.700001,46.368866,1258134
2020-08-26,53.599998,54.959999,53.340000,54.279999,46.869686,1068521
2020-08-27,54.520000,54.580002,53.220001,53.900002,46.541565,558125
2020-08-28,53.619999,53.880001,52.220001,52.419998,45.263611,1186598
2020-08-31,52.700001,53.400002,50.639999,50.639999,43.726620,2001045
2020-09-01,50.860001,51.459999,49.500000,50.320000,43.450306,1082599
2020-09-02,50.759998,51.119999,49.869999,50.299999,43.433037,925487
2020-09-03,50.560001,51.200001,50.200001,50.500000,43.605732,714084
2020-09-04,50.119999,51.220001,50.000000,50.279999,43.415764,567687
2020-09-07,51.000000,51.000000,50.000000,50.439999,43.553921,322224
2020-09-08,50.660000,50.820000,47.860001,48.099998,41.533382,1222968
2020-09-09,48.299999,49.820000,48.189999,49.439999,42.690441,1936925
2020-09-10,49.799999,50.080002,48.299999,49.220001,42.500477,703883
2020-09-11,49.459999,49.509998,48.619999,49.509998,42.750885,651998
2020-09-14,50.200001,50.279999,48.799999,48.910000,42.232796,489947
2020-09-15,49.000000,49.410000,48.209999,48.599998,41.965118,767342
2020-09-16,48.730000,48.730000,47.529999,47.700001,41.187988,765202
2020-09-17,49.439999,49.880001,47.549999,49.880001,43.070374,1302162
2020-09-18,49.889999,49.889999,48.110001,48.110001,41.542019,1658241
2020-09-21,48.119999,48.590000,46.259998,46.500000,40.151814,981557
2020-09-22,46.549999,46.799999,44.799999,45.400002,39.201988,1255401
2020-09-23,45.049999,46.259998,45.020000,45.169998,39.003384,869355
2020-09-24,45.000000,45.080002,43.849998,44.070000,38.053558,988582
2020-09-25,44.099998,44.939999,44.049999,44.430000,38.364407,844178
2020-09-28,45.000000,46.669998,44.490002,46.500000,40.151814,933130
2020-09-29,46.660000,46.799999,45.020000,45.160000,38.994747,855237
2020-09-30,45.150002,46.099998,44.840000,45.849998,39.590549,900730
2020-10-01,46.320000,46.450001,44.860001,44.860001,38.735706,757520
2020-10-02,44.639999,44.660000,43.700001,43.939999,37.941303,1190542
2020-10-05,44.799999,46.639999,44.799999,46.000000,39.720074,978534
2020-10-06,46.980000,47.200001,46.250000,46.790001,40.402225,808101
2020-10-07,46.759998,46.869999,46.150002,46.759998,40.376316,678914
2020-10-08,46.919998,46.950001,45.970001,46.660000,40.289970,829313
2020-10-09,46.400002,46.400002,44.930000,45.830002,39.573280,1252860
2020-10-12,45.980000,46.180000,44.580002,44.700001,38.597549,1148098
2020-10-13,44.720001,45.000000,43.160000,43.939999,37.941303,1420674
2020-10-14,44.000000,44.060001,42.820000,43.299999,37.388680,1779708
